Date,Open,High,Low,Close,Adj Close,Volume
2021-10-13,434.71,436.05,431.54,435.18,413.78,72974000
2021-10-12,435.67,436.1,432.78,433.62,412.29,71181200
2021-10-11,437.16,440.26,434.62,434.69,413.31,65233300
2021-10-08,439.48,439.89,437.19,437.86,416.32,74557400
2021-10-07,438.39,441.68,438.2,438.66,417.09,72437500
2021-10-06,429.27,435.12,427.54,434.9,413.51,113032200
2021-10-05,430.24,435.49,429.39,433.1,411.8,90682500
2021-10-04,433,433.96,426.36,428.64,407.56,128570000
2021-10-01,430.98,436.03,427.23,434.24,412.88,129240100
2021-09-30,436.02,436.77,428.78,429.14,408.03,140506000
2021-09-29,435.19,437.04,433.85,434.45,413.08,82329200
2021-09-28,439.69,440.04,432.94,433.72,412.39,130436300
2021-09-27,442.81,444.05,441.9,442.64,420.87,61371100
2021-09-24,441.44,444.67,441.21,443.91,422.08,62094800
2021-09-23,439.85,444.89,439.6,443.18,421.38,76396000
2021-09-22,436.05,440.03,433.75,437.86,416.32,102350100
2021-09-21,436.53,437.91,433.07,433.63,412.3,92526100
2021-09-20,434.88,436.56,428.86,434.04,412.69,166445500
2021-09-17,1.43 Dividend,,,,,
2021-09-17,444.92,445.37,441.02,441.4,419.69,118425000
2021-09-16,447.32,448.36,444.02,447.17,423.82,77786700
2021-09-15,444.62,448.41,443.44,447.88,424.49,78792200
2021-09-14,448.12,448.34,443.22,444.17,420.98,78197100
2021-09-13,448.64,448.92,444.11,446.58,423.26,83738600
2021-09-10,451.04,451.49,445.31,445.44,422.18,89948200
2021-09-09,450.7,452.57,448.72,448.98,425.53,57970400
2021-09-08,450.89,451.67,448.86,450.91,427.36,56181900
2021-09-07,452.71,452.81,450.74,451.46,427.88,51671500
2021-09-03,451.98,453.63,451.55,453.08,429.42,47170500
2021-09-02,453.32,454.05,451.91,453.19,429.52,42501000
2021-09-01,452.56,453.11,451.55,451.8,428.21,48721400
2021-08-31,452.13,452.49,450.92,451.56,427.98,59300200
2021-08-30,450.97,453.07,450.71,452.23,428.61,48357400
2021-08-27,447.12,450.65,447.06,450.25,426.74,77235100
2021-08-26,448.61,448.86,446.16,446.26,422.96,57829600
2021-08-25,448.17,449.46,447.77,448.91,425.47,40529700
2021-08-24,447.97,448.54,447.42,447.97,424.58,38744700
2021-08-23,445.16,448.23,443.44,447.26,423.9,54973000
2021-08-20,440.23,443.71,439.71,443.36,420.21,72008700
2021-08-19,436.27,441.14,436.12,439.86,416.89,92812200
2021-08-18,442.96,444.63,438.92,439.18,416.25,89351900
2021-08-17,444.24,444.96,440.85,444.04,420.85,92673900
2021-08-16,444.53,447.11,442.87,446.97,423.63,73740000
2021-08-13,445.59,445.94,445.07,445.92,422.63,39470300
2021-08-12,443.62,445.26,442.66,445.11,421.87,38909400
2021-08-11,443.82,443.88,442.62,443.78,420.61,44034300
2021-08-10,442.61,443.44,441.88,442.68,419.56,43339300
2021-08-09,442.46,442.8,441.31,442.13,419.04,41222600
2021-08-06,442.1,442.94,441.8,442.49,419.38,46930000
2021-08-05,440.22,441.85,439.88,441.76,418.69,38969700
2021-08-04,439.78,441.12,438.73,438.98,416.06,46732200
2021-08-03,438.44,441.28,436.1,441.15,418.11,58053900
2021-08-02,440.34,440.93,437.21,437.59,414.74,58783300
2021-07-30,437.91,440.06,437.77,438.51,415.61,68951200
2021-07-29,439.82,441.8,439.81,440.65,417.64,47435300
2021-07-28,439.68,440.3,437.31,438.83,415.91,52472400
2021-07-27,439.91,439.94,435.99,439.01,416.09,67397100
2021-07-26,439.31,441.03,439.26,441.02,417.99,43719200
2021-07-23,437.52,440.3,436.79,439.94,416.97,63766600
2021-07-22,434.74,435.72,433.69,435.46,412.72,47878500
2021-07-21,432.34,434.7,431.01,434.55,411.86,64724400
2021-07-20,425.68,432.42,424.83,431.06,408.55,99608200
2021-07-19,426.19,431.41,421.97,424.97,402.78,147987000
2021-07-16,436.01,436.06,430.92,431.34,408.82,75874700
2021-07-15,434.81,435.53,432.72,434.75,412.05,55126400
2021-07-14,437.4,437.92,434.91,436.24,413.46,64130400
2021-07-13,436.24,437.84,435.31,435.59,412.84,52911300
2021-07-12,435.43,437.35,434.97,437.08,414.26,52889600
2021-07-09,432.53,435.84,430.71,435.52,412.78,76238600
2021-07-08,428.78,431.73,427.52,430.92,408.42,97595200
2021-07-07,433.66,434.76,431.51,434.46,411.77,63549500
2021-07-06,433.78,434.01,430.01,432.93,410.32,68710400
2021-07-02,431.67,434.1,430.52,433.72,411.07,57697700
2021-07-01,428.87,430.6,428.8,430.43,407.95,53441000
2021-06-30,427.21,428.78,427.18,428.06,405.71,64827900
2021-06-29,427.88,428.56,427.13,427.7,405.37,35970500
2021-06-28,427.17,427.65,425.89,427.47,405.15,53159600
2021-06-25,425.9,427.09,425.55,426.61,404.33,58129500
2021-06-24,424.89,425.55,424.62,425.1,402.9,45110300
2021-06-23,423.19,424.05,422.51,422.6,400.53,49445400
2021-06-22,420.85,424,420.08,423.11,401.02,57700300
2021-06-21,416.8,421.06,415.93,420.86,398.88,72822000
2021-06-18,1.38 Dividend,,,,,
2021-06-18,417.09,417.83,414.7,414.92,393.25,118676300
2021-06-17,421.67,423.02,419.32,421.97,398.63,90949700
2021-06-16,424.63,424.87,419.92,422.11,398.76,80386100
2021-06-15,425.42,425.46,423.54,424.48,401,51508500
2021-06-14,424.43,425.37,423.1,425.26,401.74,42358500
2021-06-11,424.2,424.43,422.82,424.31,400.84,45570800
2021-06-10,422.96,424.63,421.55,423.61,400.18,51020100
2021-06-09,423.18,423.26,421.41,421.65,398.33,48436300
2021-06-08,423.11,423.21,420.32,422.28,398.92,47134300
